names,scores,logfoldchanges,group
Mt1,0.119926035,5.7566237,ACTE2
Acss1,0.11915486,3.8590162,ACTE2
Nkain4,0.11804851,3.659424,ACTE2
Ccdc190,0.117320985,4.3728714,ACTE2
Plcd4,0.11720013,4.1524663,ACTE2
Cdc42ep4,0.116354056,3.3645105,ACTE2
Gas1,0.11336499,3.8483145,ACTE2
Apoe,0.111013524,6.5576897,ACTE2
Grm3,0.11053704,3.1502311,ACTE2
Vegfa,0.110124744,3.2343752,ACTE2
Hacd2,0.10951299,2.8410037,ACTE2
Gm10561,0.10915602,4.0717144,ACTE2
Fabp7,0.10907057,4.5492015,ACTE2
Appl2,0.1077876,3.3113008,ACTE2
Hapln1,0.10727796,4.251707,ACTE2
Ndrg2,0.107173875,4.283163,ACTE2
Arhgef26,0.10537784,3.896792,ACTE2
Rgcc,0.10437514,4.363449,ACTE2
Sema4b,0.10341733,3.2313561,ACTE2
Ezr,0.10282925,4.049435,ACTE2
Wnt7a,0.10237402,3.6886187,ACTE2
Prex2,0.10183352,3.5222223,ACTE2
Rgs20,0.10159624,3.4053535,ACTE2
Ednrb,0.10074618,4.034236,ACTE2
Cml1,0.100665726,2.7832122,ACTE2
Mmd2,0.09976382,3.7151294,ACTE2
Ephx2,0.099578954,3.9362872,ACTE2
Slc25a18,0.09841454,4.3159485,ACTE2
Aqp4,0.09754818,4.8461018,ACTE2
Ddhd1,0.09721887,2.722418,ACTE2
Tst,0.09655618,3.517578,ACTE2
Cntfr,0.09609337,2.9424381,ACTE2
Cbs,0.09590083,4.1917787,ACTE2
Sparcl1,0.095694155,4.6242623,ACTE2
Slitrk2,0.09560459,3.1087508,ACTE2
Smim3,0.094588354,3.2005854,ACTE2
Lxn,0.09448838,3.6641877,ACTE2
Etv4,0.092554435,4.136229,ACTE2
Lix1,0.0912962,3.1714976,ACTE2
Dpf3,0.09098908,3.2968242,ACTE2
Egfr,0.09065028,3.8516245,ACTE2
Acot11,0.08920425,3.7437227,ACTE2
Adhfe1,0.089118496,4.0386486,ACTE2
Mcur1,0.0873989,2.806338,ACTE2
Lcat,0.086796544,4.2476387,ACTE2
Gstm1,0.08500199,3.6979074,ACTE2
Gsap,0.08454471,3.4989126,ACTE2
Slc6a1,0.083998255,3.7383814,ACTE2
Paqr7,0.08182838,2.7375944,ACTE2
Thrsp,0.08082023,3.1183152,ACTE2
Slc38a3,0.08002037,3.5592573,ACTE2
Pbxip1,0.07981709,3.5514262,ACTE2
Tmem100,0.079727426,3.7369823,ACTE2
